tar,region,lat,lon
Acapulco,Sur-Sureste,16.840379,-99.846926
Campeche,Sur-Sureste,19.814256,-90.587577
Escamela,Sur-Sureste,18.859739,-97.059810
Mérida,Sur-Sureste,20.924131,-89.693057
Oaxaca,Sur-Sureste,17.033253,-96.612920
Perote,Sur-Sureste,19.570803,-97.251952
Poza Rica,Sur-Sureste,20.523795,-97.467098
Progreso,Sur-Sureste,21.249923,-89.661224
Salina Cruz,Sur-Sureste,16.205846,-95.184144
Tapachula,Sur-Sureste,14.726559,-92.396954
Tierra Blanca,Sur-Sureste,18.443478,-96.343435
Veracruz,Sur-Sureste,19.205142,-96.146612
Villahermosa,Sur-Sureste,17.997720,-92.995268
Xalapa,Sur-Sureste,19.571594,-96.927067
Iguala,Sur-Sureste,18.359203,-99.537677
Minatitlán,Sur-Sureste,17.978192,-94.532804
Tuxtla Gutiérrez,Sur-Sureste,16.765905,-93.193012
Añil,Centro,19.404615,-99.104038
Azcapotzalco,Centro,19.466069,-99.203818
Barranca del Muerto,Centro,19.365700,-99.214328
Cuautla,Centro,18.753965,-98.905007
Cuernavaca,Centro,18.920782,-99.191842
Pachuca,Centro,20.097104,-98.747281
San Juan Ixhuatepec,Centro,19.528560,-99.114164
Tehuacán,Centro,18.540879,-97.431932
Puebla,Centro,19.073733,-98.159470
Toluca,Centro,19.289007,-99.602893
Cadereyta,Noreste,25.591713,-99.947692
Chihuahua,Noreste,28.597909,-105.984992
Ciudad Mante,Noreste,22.711477,-98.981193
Ciudad Victoria,Noreste,23.691612,-99.094448
Durango,Noreste,24.033024,-104.626677
Monclova,Noreste,26.958118,-101.425841
Nuevo Laredo,Noreste,27.473800,-99.568161
Parral,Noreste,26.982838,-105.662367
Reynosa,Noreste,26.075418,-98.278566
Sabinas,Noreste,27.831989,-101.134287
Saltillo,Noreste,25.489165,-100.971387
Santa Catarina,Noreste,25.704781,-100.485570
Ciudad Juárez,Noreste,31.605176,-106.478967
Gómez Palacio,Noreste,25.562891,-103.468210
Ensenada,Noroeste,31.881967,-116.682503
Guamúchil,Noroeste,25.471483,-108.110955
Guaymas,Noroeste,27.930510,-110.865832
La Paz,Noroeste,24.220867,-110.310373
Mazatlán,Noroeste,23.239512,-106.395815
Mexicali,Noroeste,32.580619,-115.671480
Navojoa,Noroeste,27.030918,-109.433736
Nogales,Noroeste,31.279517,-110.937835
Rosarito,Noroeste,32.374907,-117.070014
Topolobampo,Noroeste,25.615386,-109.046698
Ciudad Obregón,Noroeste,27.545729,-109.925616
Culiacán,Noroeste,24.772762,-107.433305
Magdalena,Noroeste,30.638222,-110.964574
Hermosillo,Noroeste,29.024470,-110.903571
Ciudad Valles,Centro-Occidente,22.006366,-99.038151
Manzanillo,Centro-Occidente,19.077148,-104.279954
Colima,Centro-Occidente,19.234181,-103.765688
Lázaro Cárdenas,Centro-Occidente,17.940258,-102.166263
Matehuala,Centro-Occidente,23.666362,-100.644020
San Luis Potosí,Centro-Occidente,22.137427,-100.954138
Uruapan,Centro-Occidente,19.421526,-102.001646
Zacatecas,Centro-Occidente,22.749747,-102.437801
Aguascalientes,Centro-Occidente,21.757607,-102.223451
Celaya,Centro-Occidente,20.520963,-100.853223
El Castillo,Centro-Occidente,20.505508,-103.226585
Irapuato,Centro-Occidente,20.637212,-101.297684
León,Centro-Occidente,21.099070,-101.712606
Morelia,Centro-Occidente,19.844173,-101.147551
Querétaro,Centro-Occidente,20.620878,-100.433115
Tepic,Centro-Occidente,21.482715,-104.841467
Zamora,Centro-Occidente,20.087599,-102.269064
Zapopan,Centro-Occidente,20.711198,-103.461238
